Maturity,MarketSwapRate,CalculatedSwapRate
1Y,0.05181,0.05180999999999972
2Y,0.04816,0.04815999999999335
3Y,0.04582,0.04581999999996583
5Y,0.0434,0.04339999999971946
7Y,0.0425,0.042499999998482536
10Y,0.04203,0.04202999998757558
15Y,0.04197,0.04196999999999997
30Y,0.03959,0.03958999999999993
